Cell_Type,Train_Correlation,Train_RMSE,Train_MAE,Train_MSE,Test_Correlation,Test_RMSE,Test_MAE,Test_MSE,Available_Proteins,Source,Cell_Type_Label
Nervous_system,0.6377,6.2788,5.1038,39.4238,0.6378,6.3393,5.1446,40.1868,79,aggregate,Nervous_system (79)
Glandular_cells,0.6254,6.3604,5.1813,40.4545,0.6341,6.3672,5.1824,40.5417,26,aggregate,Glandular_cells (26)
Skeletal myocytes,0.6129,6.4404,5.2262,41.4792,0.6213,6.4557,5.2807,41.6762,23,original,Skeletal myocytes (23)
Muscle_cells,0.6084,6.4689,5.2337,41.8465,0.6185,6.4732,5.2798,41.9028,32,aggregate,Muscle_cells (32)
Immune_cells,0.5784,6.6492,5.4339,44.2119,0.5851,6.6763,5.4943,44.573,110,aggregate,Immune_cells (110)
Hepatocytes,0.5524,6.7945,5.5727,46.1651,0.5598,6.8246,5.6216,46.5757,82,original,Hepatocytes (82)
NEFL-C1QL2 Projection Neurons,0.5115,7.0039,5.7666,49.0547,0.5085,7.0867,5.8427,50.2211,5,original,NEFL-C1QL2 Projection Neurons (5)
Lymphoid_lineage,0.4985,7.0661,5.8415,49.9296,0.5065,7.0993,5.9058,50.3995,54,aggregate,Lymphoid_lineage (54)
Gastrointestinal_epithelial,0.4834,7.1355,5.9123,50.9159,0.5023,7.1197,5.8967,50.6895,43,aggregate,Gastrointestinal_epithelial (43)
Myeloid_lineage,0.4947,7.0839,5.8405,50.1823,0.5008,7.1249,5.9069,50.7637,55,aggregate,Myeloid_lineage (56)
Respiratory_epithelial,0.4851,7.1278,5.8971,50.8056,0.4994,7.1342,5.9088,50.8967,16,aggregate,Respiratory_epithelial (16)
Astrocytes,0.4918,7.0972,5.8508,50.3704,0.4929,7.1609,5.9142,51.2787,10,original,Astrocytes (10)
Fibroblasts,0.4804,7.149,5.9264,51.108,0.4835,7.2081,5.9791,51.9563,16,original,Fibroblasts (16)
Brain_glia,0.4764,7.1665,5.9227,51.3594,0.4777,7.2327,5.9885,52.3114,22,aggregate,Brain_glia (22)
Macrophages,0.4753,7.1713,5.9346,51.4281,0.4726,7.2538,6.043,52.6183,29,original,Macrophages (29)
Enteroendocrine cells,0.4549,7.2587,6.0138,52.6886,0.4657,7.2887,6.0455,53.1258,8,original,Enteroendocrine cells (8)
Oligodendrocyte precursor cells,0.4521,7.2705,6.006,52.8605,0.458,7.3169,6.0453,53.5375,15,original,Oligodendrocyte precursor cells (15)
