Cell_Type,n_proteins,Healthy_Correlation,Disease_Correlation,SADRC_Correlation (external subchort in GNPC)
Hepatocytes,134,0.755481622,0.639592783,0.507661674
Smooth muscle cells,9,0.688187063,0.650151332,0.479883848
Skeletal myocytes,37,0.685015557,0.583392397,0.42696081
monocytes,78,0.658295077,0.567519079,0.484063454
Macrophages,37,0.638847247,0.54249831,0.411841186
Cardiomyocytes,56,0.626714607,0.482186291,0.32614411
Oligodendrocyte precursor cells,35,0.619769852,0.568160441,0.365840924
Inhibitory neurons,24,0.607164415,0.552193168,0.394733426
Proximal enterocytes,54,0.606350489,0.463525242,0.318365792
Oligodendrocytes,65,0.594452686,0.486901134,0.290258339
granulocytes,21,0.551626815,0.450444456,0.391594353
Fibroblasts,18,0.543783754,0.487146594,0.363664046
Suprabasal keratinocytes,41,0.537986173,0.466924765,0.296031579
Astrocytes,32,0.521497492,0.495285222,0.2325806
Plasma cells,30,0.515043666,0.464672336,0.285180923
Schwann cells,12,0.499436425,0.446464421,0.310393816
Peritubular cells,8,0.496244592,0.485275601,0.345225065
NK-cells,33,0.491842532,0.368965569,0.226933567
Serous glandular cells,20,0.484373685,0.391040585,0.300033997
Adipocytes,16,0.470368288,0.396815556,0.218316963
Exocrine glandular cells,27,0.469926339,0.387646965,0.219191176
Muller glia cells,20,0.465382571,0.459794224,0.252138492
Excitatory neurons,31,0.460400426,0.401807588,0.247631474
Mesothelial cells,6,0.457462864,0.385100667,0.223934624
Gastric mucus-secreting cells,17,0.452878671,0.338736044,0.261917098
NEFL-C1QL2 Projection Neurons,12,0.436126674,0.335481967,0.271527488
Endothelial cells,5,0.431621029,0.415899588,0.238774496
Proximal tubular cells,29,0.430973531,0.332116987,0.146400041
B-cells,20,0.43095997,0.382950145,0.281641427
Enteroendocrine cells,18,0.409841921,0.343783953,0.241862023
Basal respiratory cells,11,0.399971173,0.368147962,0.31179185
Microglial cells,12,0.39206597,0.329508703,0.252919686
Lymphatic endothelial cells,11,0.385916361,0.398948632,0.212239335
T-cells,25,0.356972056,0.292296698,0.16884547
Intestinal goblet cells,16,0.355250381,0.234174762,0.158237522
Pancreatic endocrine cells,7,0.349705524,0.318337824,0.246802704
Erythroid cells,22,0.349643475,0.188819807,0.207540351
Alveolar cells type 1,8,0.337242575,0.249798066,0.117898001
Breast glandular cells,7,0.329005059,0.26946395,0.211499254
Alveolar cells type 2,8,0.303133871,0.063926293,0.167100475
Ciliated cells,12,0.28906107,0.227751977,0.127784238
Distal tubular cells,6,0.279414307,0.236138009,0.185951464
Mucus glandular cells,4,0.268273354,0.139689939,0.118209599
dendritic cells,18,0.265357975,0.154608267,0.120745324
Bipolar cells,11,0.257535161,0.216296302,0.150575848
Melanocytes,9,0.2571929,0.27548239,0.189921454
Cholangiocytes,3,0.232389299,0.237832024,0.055154345
Club cells,1,0.219063662,0.248666254,0.154651532
Ionocytes,4,0.217430273,0.084931663,0.202902912
Paneth cells,6,0.216108827,0.142915327,0.081706474
Distal enterocytes,10,0.202991318,0.150594895,0.059394759
Cone photoreceptor cells,14,0.200879858,0.117997415,0.06126621
Squamous epithelial cells,3,0.185285975,0.139988668,0.081848477
Glandular and luminal cells,10,0.18319437,0.158930704,0.064986159
Rod photoreceptor cells,8,0.169581854,0.130189953,0.05862931
Secretory cells,6,0.166551932,0.182564725,0.219226869
Cytotrophoblasts,3,0.162830995,0.070343051,0.037964046
Basal prostatic cells,10,0.162485535,0.108630624,0.116270978
Collecting duct cells,3,0.122870902,0.037942826,0.087773651
Basal keratinocytes,2,0.122012395,0.002574003,0.117284348
Salivary duct cells,1,0.098149484,0.061245431,0.035240194
Basal squamous epithelial cells,3,0.086320347,0.04925736,-0.003433568
Ductal cells,2,0.050284741,-0.00352093,0.113759951
Breast myoepithelial cells,2,0.042102348,-0.003267866,0.105705764
