,Somamer,SeqId,SeqIdVersion,SomaId,TargetFullName,Target,UniProt,EntrezGeneID,EntrezGeneSymbol,Organism_x,Units,Type,Dilution,Symbol,Symbol_unique,EstimatedCV,EstimatedCV_low,PlasmaScaleFactor_v4_to_v4.1,PlasmaLinsCCC,PlasmaLinsCCC_low
0,CRYBB2.10000.28,10000-28,3,SL019233,Beta-crystallin B2,CRBB2,P43320,1415,CRYBB2,Human,RFU,Protein,20,CRYBB2,CRYBB2,3.5,1,1.053,0.963,0
1,RAF1.10001.7,10001-7,3,SL002564,RAF proto-oncogene serine/threonine-protein kinase,c-Raf,P04049,5894,RAF1,Human,RFU,Protein,20,RAF1,RAF1,4,1,1.3,0.875,0
2,ZNF41.10003.15,10003-15,3,SL019245,Zinc finger protein 41,ZNF41,P51814,7592,ZNF41,Human,RFU,Protein,0.5,ZNF41,ZNF41,6.5,1,1.507,0.668,0
3,ELK1.10006.25,10006-25,3,SL019228,ETS domain-containing protein Elk-1,ELK1,P19419,2002,ELK1,Human,RFU,Protein,20,ELK1,ELK1,3.5,1,0.826,0.877,0
4,GUCA1A.10008.43,10008-43,3,SL019234,Guanylyl cyclase-activating protein 1,GUC1A,P43080,2978,GUCA1A,Human,RFU,Protein,20,GUCA1A,GUCA1A,2.5,1,0.902,0.908,0
5,BECN1.10010.10,10010-10,3,SL014943,Beclin-1,BECN1,Q14457,8678,BECN1,Human,RFU,Protein,20,BECN1,BECN1.1,3.5,1,,,0
6,OCRL.10011.65,10011-65,3,SL019246,Inositol polyphosphate 5-phosphatase OCRL-1,OCRL,Q01968,4952,OCRL,Human,RFU,Protein,20,OCRL,OCRL,3.5,1,1.073,0.743,0
7,SPDEF.10012.5,10012-5,3,SL014669,SAM pointed domain-containing Ets transcription factor,SPDEF,O95238,25803,SPDEF,Human,RFU,Protein,20,SPDEF,SPDEF,7.5,1,0.868,0.591,0
8,SNAI2.10014.31,10014-31,3,SL007803,Zinc finger protein SNAI2,SLUG,O43623,6591,SNAI2,Human,RFU,Protein,20,SNAI2,SNAI2,2.5,1,0.93,0.941,0
9,KCNAB2.10015.119,10015-119,3,SL014924,Voltage-gated potassium channel subunit beta-2,KCAB2,Q13303,8514,KCNAB2,Human,RFU,Protein,20,KCNAB2,KCNAB2,2.5,1,0.826,0.737,0
10,POLH.10022.207,10022-207,3,SL019229,DNA polymerase eta,POLH,Q9Y253,5429,POLH,Human,RFU,Protein,20,POLH,POLH,4,1,1.028,0.954,0
11,VDR.10023.32,10023-32,3,SL004071,Vitamin D3 receptor,VDR,P11473,7421,VDR,Human,RFU,Protein,20,VDR,VDR,7,1,1.162,0.481,0
12,HOGA1.10024.44,10024-44,3,SL019235,"4-hydroxy-2-oxoglutarate aldolase, mitochondrial",HOGA1,Q86XE5,112817,HOGA1,Human,RFU,Protein,20,HOGA1,HOGA1,3.5,1,0.757,0.932,0
13,DLD.10025.1,10025-1,3,SL008018,"Dihydrolipoyl dehydrogenase, mitochondrial",DLDH,P09622,1738,DLD,Human,RFU,Protein,0.5,DLD,DLD.1,3,1,,,0
14,MUTYH.10030.8,10030-8,3,SL006373,Adenine DNA glycosylase,MutY homolog,Q9UIF7,4595,MUTYH,Human,RFU,Protein,20,MUTYH,MUTYH,4.5,1,0.881,0.913,0
15,DUSP4.10035.6,10035-6,3,SL007389,Dual specificity protein phosphatase 4,DUS4,Q13115,1846,DUSP4,Human,RFU,Protein,20,DUSP4,DUSP4,2.5,1,0.911,0.889,0
16,ZHX3.10036.201,10036-201,3,SL019252,Zinc fingers and homeoboxes protein 3,ZHX3,Q9H4I2,23051,ZHX3,Human,RFU,Protein,0.5,ZHX3,ZHX3,6.5,1,0.735,0.671,0
17,SIGLEC12.10037.98,10037-98,3,SL025986,"Sialic acid-binding Ig-like lectin 12:Ig-like V-type 2 domain, Isoform long",SIG12:Ig-like V-type 2,Q96PQ1,89858,SIGLEC12,Human,RFU,Protein,20,SIGLEC12,SIGLEC12.1,4,1,1.256,0.914,0
